TRACK_NAME,SINGER_NAME
Say So,Doja Cat
Blinding Lights,The Weeknd
Supalonely (feat. Gus Dapperton),BENEE
Savage,Megan Thee Stallion
Moral of the Story,Ashe
Rain On Me (with Ariana Grande),Lady Gaga
Babylon,Lady Gaga
Replay,Lady Gaga
My Oh My (feat. DaBaby),Camila Cabello
Physical,Dua Lipa
Glitter,BENEE
Put Your Records On,Ritt Momney
Stuck with U (with Justin Bieber),Ariana Grande
Break My Heart,Dua Lipa
Selfish,Madison Beer
LEMONS - Demo,Brye
The Less I Know The Better,Tame Impala
Buttercup,Jack Stauber
Dissolve,Absofacto
Sunday Best,Surfaces
Airplane Mode,Limbo
Chinese New Year,SALES
LMK,Lil Xxel
Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical
Figure It Out,Blu DeTiger
They Call Me Tiago (Her Name Is Margo),Tiagz
My Heart Went Oops,Tiagz
Muffins In The Freezer,Tiagz
Beggin',Madcon
Kolors,monte booker
Play Date,Melanie Martinez
Ride It,Regard
No Idea,Don Toliver
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G
Cannibal,Kesha
Lottery (Renegade),K CAMP
Bad Boy,Yung Bae
Hard Times,Paramore
death bed (coffee for your head),Powfu
Backyard Boy,Claire Rosinkranz
cardigan,Taylor Swift
Beef FloMix,Flo Milli
Psycho!,MASN
Party Girl,StaySolidRocky
Electric Love,BÃ˜RNS
Producer Man,Lyn Lapid
ily (i love you baby) (feat. Emilee),Surf Mesa
Mariposa,Peach Tree Rascals
FML,Arizona Zervas
Savage Love (Laxed - Siren Beat),Jawsh 685
Stunnin',Curtis Waters
Deep End,FousheÃ©
Freak,Doja Cat
Funny Thing,Thundercat
Money Trees,Kendrick Lamar
Wait a Minute!,WILLOW
Eyes Blue Like The Atlantic,Sista Prod
Mood (feat. iann dior),24kGoldn
Mad at Disney,salem ilese
Boss Bitch,Doja Cat
Falling,Trevor Daniel
Moon (And It Went Like),Kid Francescoli
Just Fine,Mary J. Blige
Smile,Lily Allen
Bulletproof,La Roux
Heather,Conan Gray
Juicy,Doja Cat
Blueberry Faygo,Lil Mosey
American Boy,Estelle
Can't Stop Singing,Ross Lynch
Like That (feat. Gucci Mane),Doja Cat
Gimme Love,Joji
Mine,Bazzi
What They Want,Russ
La La La,Naughty Boy
ROXANNE,Arizona Zervas
Homage,Mild High Club
Opaul,Freddie Dredd
"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",Jodi Benson
Relationship (feat. Future),Young Thug
Borderline,Tame Impala
Renee,SALES
Don't Start Now,Dua Lipa
Freak (feat. REI AMI),Sub Urban
Candy,Doja Cat
Ophelia,The Lumineers
Violent Crimes,Kanye West
Someone To You,BANNERS
Plastic Hearts,Miley Cyrus
Primadonna,MARINA
Check It Out,will.i.am
Hood Baby,KBFR
Shoota (feat. Lil Uzi Vert),Playboi Carti
I Just Want to Be the One You Love,Boxout
Make You Mine,PUBLIC
To Be So Lonely,Harry Styles
Hotel Room Service,Pitbull
M to the B,Millie B
Say So (feat. Nicki Minaj),Doja Cat
What's My Name?,Rihanna
Whatcha Say,Jason Derulo
Hey Julie! (feat. Lil Yachty),KYLE
Crush,Tessa Violet
Mr. Blue Sky,Electric Light Orchestra
Myron,Lil Uzi Vert
I'm Looking for Mrs. Bubblegum,Memetown
Partition,BeyoncÃ©
Lets Link,WhoHeem
Are You Bored Yet? (feat. Clairo),Wallows
Trampoline,SHAED
Paper Planes,M.I.A.
She Belongs to the Streets (Toxic),Rontae Don't Play
OUT WEST (feat. Young Thug),JACKBOYS
Breathe,Years & Years
Yellow Hearts,Ant Saunders
Needs,Verzache
"Sofia the First Main Title Theme - From ""Sofia the First""",Cast - Sofia the First
Mi Pan Su Su Sum,Miel Pops
Wasabi,Little Mix
CITY OF ANGELS,24kGoldn
